,rating,percentage,totals,imdb_id,title
1,9.0,23.9,203547.0,tt1392190,Mad Max: Fury Road
2,8.0,26.3,224296.0,tt1392190,Mad Max: Fury Road
3,7.0,15.6,132689.0,tt1392190,Mad Max: Fury Road
4,6.0,6.7,56936.0,tt1392190,Mad Max: Fury Road
5,5.0,3.0,25327.0,tt1392190,Mad Max: Fury Road
6,4.0,1.5,12924.0,tt1392190,Mad Max: Fury Road
7,3.0,1.0,8489.0,tt1392190,Mad Max: Fury Road
8,2.0,0.7,6163.0,tt1392190,Mad Max: Fury Road
9,1.0,1.5,12549.0,tt1392190,Mad Max: Fury Road
1,9.0,12.1,75491.0,tt0241527,Harry Potter and the Philosopher's Stone
2,8.0,27.2,169105.0,tt0241527,Harry Potter and the Philosopher's Stone
3,7.0,26.1,162339.0,tt0241527,Harry Potter and the Philosopher's Stone
4,6.0,10.1,62563.0,tt0241527,Harry Potter and the Philosopher's Stone
5,5.0,3.5,21834.0,tt0241527,Harry Potter and the Philosopher's Stone
6,4.0,1.3,8016.0,tt0241527,Harry Potter and the Philosopher's Stone
7,3.0,0.7,4207.0,tt0241527,Harry Potter and the Philosopher's Stone
8,2.0,0.4,2549.0,tt0241527,Harry Potter and the Philosopher's Stone
9,1.0,1.2,7414.0,tt0241527,Harry Potter and the Philosopher's Stone
1,9.0,19.4,124617.0,tt3498820,Captain America: Civil War
2,8.0,28.9,185661.0,tt3498820,Captain America: Civil War
3,7.0,20.0,128369.0,tt3498820,Captain America: Civil War
4,6.0,8.1,51853.0,tt3498820,Captain America: Civil War
5,5.0,3.0,19260.0,tt3498820,Captain America: Civil War
6,4.0,1.2,7706.0,tt3498820,Captain America: Civil War
7,3.0,0.7,4254.0,tt3498820,Captain America: Civil War
8,2.0,0.4,2816.0,tt3498820,Captain America: Civil War
9,1.0,1.5,9756.0,tt3498820,Captain America: Civil War
1,9.0,10.5,77310.0,tt1300854,Iron Man 3
2,8.0,24.4,179946.0,tt1300854,Iron Man 3
3,7.0,28.6,211091.0,tt1300854,Iron Man 3
4,6.0,14.6,107477.0,tt1300854,Iron Man 3
5,5.0,5.6,41100.0,tt1300854,Iron Man 3
6,4.0,2.2,16507.0,tt1300854,Iron Man 3
7,3.0,1.2,8577.0,tt1300854,Iron Man 3
8,2.0,0.6,4596.0,tt1300854,Iron Man 3
9,1.0,1.4,9998.0,tt1300854,Iron Man 3
1,9.0,27.3,402899.0,tt1345836,The Dark Knight Rises
2,8.0,24.1,355413.0,tt1345836,The Dark Knight Rises
3,7.0,11.6,171124.0,tt1345836,The Dark Knight Rises
4,6.0,4.2,62686.0,tt1345836,The Dark Knight Rises
5,5.0,1.7,24685.0,tt1345836,The Dark Knight Rises
6,4.0,0.8,11802.0,tt1345836,The Dark Knight Rises
7,3.0,0.5,6859.0,tt1345836,The Dark Knight Rises
8,2.0,0.3,4956.0,tt1345836,The Dark Knight Rises
9,1.0,0.9,13254.0,tt1345836,The Dark Knight Rises
1,9.0,12.1,87063.0,tt2395427,Avengers: Age of Ultron
2,8.0,25.8,186087.0,tt2395427,Avengers: Age of Ultron
3,7.0,27.4,197554.0,tt2395427,Avengers: Age of Ultron
4,6.0,12.8,91877.0,tt2395427,Avengers: Age of Ultron
5,5.0,4.8,34485.0,tt2395427,Avengers: Age of Ultron
6,4.0,2.0,14116.0,tt2395427,Avengers: Age of Ultron
7,3.0,1.0,6956.0,tt2395427,Avengers: Age of Ultron
8,2.0,0.6,4318.0,tt2395427,Avengers: Age of Ultron
9,1.0,1.4,10341.0,tt2395427,Avengers: Age of Ultron
1,9.0,9.0,51158.0,tt0369610,Jurassic World
2,8.0,22.1,125750.0,tt0369610,Jurassic World
3,7.0,29.6,168196.0,tt0369610,Jurassic World
4,6.0,16.5,93875.0,tt0369610,Jurassic World
5,5.0,7.1,40384.0,tt0369610,Jurassic World
6,4.0,3.0,17102.0,tt0369610,Jurassic World
7,3.0,1.5,8489.0,tt0369610,Jurassic World
8,2.0,0.9,5002.0,tt0369610,Jurassic World
9,1.0,1.1,6512.0,tt0369610,Jurassic World
1,9.0,25.5,579620.0,tt0111161,The Shawshank Redemption
2,8.0,11.6,263491.0,tt0111161,The Shawshank Redemption
3,7.0,3.7,84413.0,tt0111161,The Shawshank Redemption
4,6.0,1.1,25489.0,tt0111161,The Shawshank Redemption
5,5.0,0.6,13118.0,tt0111161,The Shawshank Redemption
6,4.0,0.3,6394.0,tt0111161,The Shawshank Redemption
7,3.0,0.2,4597.0,tt0111161,The Shawshank Redemption
8,2.0,0.2,4289.0,tt0111161,The Shawshank Redemption
9,1.0,1.5,34104.0,tt0111161,The Shawshank Redemption
1,9.0,5.0,29328.0,tt1386697,Suicide Squad
2,8.0,11.9,69559.0,tt1386697,Suicide Squad
3,7.0,20.5,119862.0,tt1386697,Suicide Squad
4,6.0,20.6,120288.0,tt1386697,Suicide Squad
5,5.0,13.4,77957.0,tt1386697,Suicide Squad
