,Gender,All Ages_rating,All Ages_votes,<18_rating,<18_votes,18-29_rating,18-29_votes,30-44_rating,30-44_votes,45+_rating,45+_votes,imdb_id,title
1,Males,7.9,505555.0,7.4,722.0,8.0,151749.0,7.8,237404.0,7.8,62991.0,tt2488496,Star Wars: The Force Awakens
2,Females,8.1,82446.0,7.8,121.0,8.2,29569.0,8.1,34909.0,8.1,9277.0,tt2488496,Star Wars: The Force Awakens
1,Males,8.7,879420.0,8.9,727.0,8.9,249192.0,8.7,459165.0,8.5,105103.0,tt0167261,The Lord of the Rings: The Two Towers
2,Females,8.7,191132.0,8.3,126.0,8.8,62385.0,8.6,94271.0,8.6,21091.0,tt0167261,The Lord of the Rings: The Two Towers
1,Males,8.3,773117.0,8.6,653.0,8.5,228254.0,8.3,404967.0,7.8,80841.0,tt0361748,Inglourious Basterds
2,Females,8.3,150210.0,8.1,117.0,8.5,53086.0,8.3,73861.0,7.9,12641.0,tt0361748,Inglourious Basterds
1,Males,8.1,372970.0,8.6,699.0,8.3,126364.0,7.9,166478.0,7.7,33635.0,tt3315342,Logan
2,Females,7.9,57605.0,8.5,99.0,8.1,22054.0,7.8,23778.0,7.7,4694.0,tt3315342,Logan
1,Males,7.4,281611.0,7.7,945.0,7.5,98110.0,7.3,121862.0,7.3,25901.0,tt2250912,Spider-Man: Homecoming
2,Females,7.6,49672.0,7.9,220.0,7.7,21546.0,7.4,17878.0,7.4,3606.0,tt2250912,Spider-Man: Homecoming
1,Males,6.9,453899.0,6.7,618.0,6.9,140748.0,6.9,232422.0,6.9,45068.0,tt1228705,Iron Man 2
2,Females,7.2,82608.0,6.9,104.0,7.3,31611.0,7.1,36905.0,7.2,7352.0,tt1228705,Iron Man 2
1,Males,8.0,602656.0,8.2,465.0,8.2,183737.0,7.9,315484.0,7.7,64969.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
2,Females,8.2,163249.0,8.2,113.0,8.3,59828.0,8.1,78340.0,8.0,14996.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
1,Males,8.2,522275.0,8.4,690.0,8.3,166593.0,8.2,265718.0,8.0,51364.0,tt1049413,Up
2,Females,8.4,162734.0,8.2,221.0,8.4,65783.0,8.4,72381.0,8.3,11610.0,tt1049413,Up
1,Males,8.0,439753.0,8.0,500.0,8.1,136356.0,7.9,210479.0,7.9,50367.0,tt3659388,The Martian
2,Females,8.0,89035.0,7.4,101.0,8.1,32697.0,7.9,38435.0,8.1,8858.0,tt3659388,The Martian
1,Males,8.3,825128.0,8.2,786.0,8.3,240010.0,8.3,443620.0,8.0,80186.0,tt0372784,Batman Begins
2,Females,8.0,131709.0,7.7,93.0,8.1,44233.0,8.0,66314.0,7.9,12265.0,tt0372784,Batman Begins
1,Males,7.2,207765.0,7.2,378.0,7.3,75135.0,7.1,90744.0,7.1,20717.0,tt3183660,Fantastic Beasts and Where to Find Them
2,Females,7.7,72128.0,7.8,158.0,7.8,31268.0,7.6,27402.0,7.7,5298.0,tt3183660,Fantastic Beasts and Where to Find Them
1,Males,7.2,327976.0,7.2,682.0,7.3,106351.0,7.2,153248.0,7.3,33868.0,tt0478970,Ant-Man
2,Females,7.4,59481.0,7.6,127.0,7.4,23458.0,7.3,24297.0,7.5,5142.0,tt0478970,Ant-Man
1,Males,7.8,315037.0,8.1,998.0,7.9,102408.0,7.8,140424.0,7.7,30953.0,tt3501632,Thor: Ragnarok
2,Females,8.1,64132.0,8.3,196.0,8.1,24106.0,8.0,25717.0,8.1,5744.0,tt3501632,Thor: Ragnarok
1,Males,7.3,294781.0,7.5,453.0,7.5,103212.0,7.1,141509.0,7.2,32165.0,tt0295297,Harry Potter and the Chamber of Secrets
2,Females,7.9,105599.0,8.1,149.0,8.1,43275.0,7.7,46456.0,7.9,9032.0,tt0295297,Harry Potter and the Chamber of Secrets
